OFS,Communes,Districts
5621,Aclens,Morges
5742,Agiez,Jura-Nord vaudois
5401,Aigle,Aigle
5851,Allaman,Morges
5701,Arnex-sur-Nyon,Nyon
5743,Arnex-sur-Orbe,Jura-Nord vaudois
5702,Arzier,Nyon
5511,Assens,Gros-de-Vaud
5422,Aubonne,Morges
5451,Avenches,Broye-Vully
5744,Ballaigues,Jura-Nord vaudois
5423,Ballens,Morges
5703,Bassins,Nyon
5745,Baulmes,Jura-Nord vaudois
5746,Bavois,Jura-Nord vaudois
5704,Begnins,Nyon
5581,Belmont-sur-Lausanne,Lavaux-Oron
5902,Belmont-sur-Yverdon,Jura-Nord vaudois
5512,Bercher,Gros-de-Vaud
5424,Berolle,Morges
5471,Bettens,Gros-de-Vaud
5402,Bex,Aigle
5425,Bière,Morges
5903,Bioley-Magnoux,Jura-Nord vaudois
5892,Blonay - Saint-Légier,Riviera-Pays d'Enhaut
5747,Bofflens,Jura-Nord vaudois
5705,Bogis-Bossey,Nyon
5551,Bonvillars,Jura-Nord vaudois
5706,Borex,Nyon
5514,Bottens,Gros-de-Vaud
5426,Bougy-Villars,Morges
5661,Boulens,Gros-de-Vaud
5613,Bourg-en-Lavaux,Lavaux-Oron
5472,Bournens,Gros-de-Vaud
5473,Boussens,Gros-de-Vaud
5622,Bremblens,Morges
5515,Bretigny-sur-Morrens,Gros-de-Vaud
5748,Bretonnières,Jura-Nord vaudois
5623,Buchillon,Morges
5552,Bullet,Jura-Nord vaudois
5852,Bursinel,Nyon
5853,Bursins,Nyon
5854,Burtigny,Nyon
5624,Bussigny,Ouest lausannois
5663,Bussy-sur-Moudon,Broye-Vully
5904,Chamblon,Jura-Nord vaudois
5553,Champagne,Jura-Nord vaudois
5812,Champtauroz,Broye-Vully
5905,Champvent,Jura-Nord vaudois
5882,Chardonne,Riviera-Pays d'Enhaut
5841,Château-d'Oex,Riviera-Pays d'Enhaut
5707,Chavannes-de-Bogis,Nyon
5708,Chavannes-des-Bois,Nyon
5907,Chavannes-le-Chêne,Jura-Nord vaudois
5475,Chavannes-le-Veyron,Morges
5627,Chavannes-près-Renens,Ouest lausannois
5665,Chavannes-sur-Moudon,Broye-Vully
5749,Chavornay (nouvelle commune),Jura-Nord vaudois
5908,Chêne-Pâquier,Jura-Nord vaudois
5909,Cheseaux-Noréaz,Jura-Nord vaudois
5582,Cheseaux-sur-Lausanne,Lausanne
5709,Chéserex,Nyon
5403,Chessel,Aigle
5476,Chevilly,Morges
5813,Chevroux,Broye-Vully
5601,Chexbres,Lavaux-Oron
5628,Chigny,Morges
5629,Clarmont,Morges
5710,Coinsins,Nyon
5711,Commugny,Nyon
5554,Concise,Jura-Nord vaudois
5712,Coppet,Nyon
5404,Corbeyrier,Aigle
5785,Corcelles-le-Jorat,Broye-Vully
5555,Corcelles-près-Concise,Jura-Nord vaudois
5816,Corcelles-près-Payerne,Broye-Vully
5883,Corseaux,Riviera-Pays d'Enhaut
5884,Corsier-sur-Vevey,Riviera-Pays d'Enhaut
5477,Cossonay,Morges
5713,Crans-près-Céligny,Nyon
5714,Crassier,Nyon
5583,Crissier,Ouest lausannois
5910,Cronay,Jura-Nord vaudois
5752,Croy,Jura-Nord vaudois
5479,Cuarnens,Morges
