Bilan-Liste-La_Terre_au_Centre, gagnés, perdus, bilan
UDC, 1435, -287, 1148
PLR, 1771, -683, 1088
Le Centre, 1075, -311, 764
PSV, 985, -393, 592
VERT'LIBÉRAUX, 483, -157, 326
Les Vert·e·s, 457, -190, 267
PEV, 173, -58, 115
UDF, 113, -8, 105
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 181, -80, 101
PPVD, 67, -28, 39
POP, 47, -15, 32
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 84, -72, 12
UDC Liberté et Mobilité, 142, -131, 11
EàG, 33, -26, 7
JSV, 22, -17, 5
Les Libres, 159, -166, -7
JVVD, 20, -30, -10
Jeunes UDC, 46, -63, -17
Les Jeunes du Centre, 88, -109, -21
JLRV, 17, -38, -21
PLR.Énergie libérale, 35, -84, -49
Total, 7433, -2946, 4487
