Bilan-Liste-Les_Jeunes_du_Centre, gagnés, perdus, bilan
Le Centre, 463, -107, 356
PSV, 293, -94, 199
PLR, 253, -82, 171
UDC, 113, -9, 104
VERT'LIBÉRAUX, 159, -73, 86
Les Vert·e·s, 138, -66, 72
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 84, -28, 56
Les Libres, 83, -37, 46
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 68, -45, 23
La Terre au Centre, 109, -88, 21
PEV, 29, -8, 21
JSV, 24, -15, 9
UDC Liberté et Mobilité, 10, -2, 8
PLR.Énergie libérale, 13, -6, 7
PPVD, 34, -29, 5
POP, 18, -14, 4
UDF, 7, -3, 4
EàG, 16, -18, -2
JLRV, 12, -14, -2
Jeunes UDC, 6, -10, -4
JVVD, 3, -16, -13
Total, 1935, -764, 1171
