Bilan-Liste-Les_Vert_e_s, gagnés, perdus, bilan
PSV, 17885, -15597, 2288
UDC, 775, -178, 597
PLR, 2124, -1836, 288
Le Centre, 608, -338, 270
VERT'LIBÉRAUX, 2115, -1916, 199
UDF, 63, -42, 21
PEV, 164, -148, 16
UDC Liberté et Mobilité, 72, -67, 5
Jeunes UDC, 17, -31, -14
JLRV, 23, -75, -52
Les Jeunes du Centre, 66, -138, -72
PLR.Énergie libérale, 63, -150, -87
PPVD, 202, -404, -202
La Terre au Centre, 190, -457, -267
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 191, -589, -398
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 458, -903, -445
Les Libres, 298, -787, -489
POP, 316, -1292, -976
JSV, 232, -1228, -996
EàG, 1283, -3187, -1904
JVVD, 975, -3199, -2224
Total, 28120, -32562, -4442
