Bilan-Liste-UDC, gagnés, perdus, bilan
PEV, 255, -206, 49
UDF, 424, -426, -2
PPVD, 77, -81, -4
JSV, 6, -58, -52
EàG, 14, -79, -65
JVVD, 3, -77, -74
POP, 29, -113, -84
Les Jeunes du Centre, 9, -113, -104
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 30, -217, -187
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 63, -360, -297
Le Centre, 452, -822, -370
Les Libres, 136, -529, -393
JLRV, 84, -582, -498
VERT'LIBÉRAUX, 343, -854, -511
Les Vert·e·s, 178, -775, -597
PLR.Énergie libérale, 176, -1234, -1058
La Terre au Centre, 287, -1435, -1148
Jeunes UDC, 383, -2260, -1877
PSV, 1150, -3180, -2030
UDC Liberté et Mobilité, 1400, -5823, -4423
PLR, 10280, -15056, -4776
Total, 15779, -34280, -18501
