Liste-Bilan-EàG, gagnés, perdus, bilan
Les Vert·e·s, 3187, -1283, 1904
PSV, 2806, -1265, 1541
UDC, 79, -14, 65
VERT'LIBÉRAUX, 94, -34, 60
PLR, 93, -45, 48
Le Centre, 44, -12, 32
PEV, 32, -19, 13
PPVD, 73, -63, 10
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 29, -19, 10
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 22, -16, 6
UDF, 8, -2, 6
Jeunes UDC, 6, -1, 5
Les Jeunes du Centre, 18, -16, 2
UDC Liberté et Mobilité, 5, -11, -6
JLRV, 1, -7, -6
La Terre au Centre, 26, -33, -7
PLR.Énergie libérale, 2, -11, -9
Les Libres, 49, -76, -27
JVVD, 504, -577, -73
JSV, 130, -254, -124
POP, 443, -590, -147
Total, 7651, -4348, 3303
