Liste-Bilan-JLRV, gagnés, perdus, bilan
PLR, 2624, -385, 2239
UDC, 582, -84, 498
PSV, 237, -28, 209
VERT'LIBÉRAUX, 153, -38, 115
Le Centre, 131, -25, 106
PLR.Énergie libérale, 151, -89, 62
Les Vert·e·s, 75, -23, 52
La Terre au Centre, 38, -17, 21
PEV, 21, -1, 20
Les Libres, 36, -18, 18
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 35, -21, 14
UDC Liberté et Mobilité, 35, -22, 13
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 33, -22, 11
UDF, 9, 0, 9
JSV, 10, -4, 6
EàG, 7, -1, 6
PPVD, 16, -12, 4
Les Jeunes du Centre, 14, -12, 2
POP, 14, -12, 2
Jeunes UDC, 15, -15, 0
JVVD, 8, -12, -4
Total, 4244, -841, 3403
