Liste-Bilan-JSV, gagnés, perdus, bilan
PSV, 2563, -504, 2059
Les Vert·e·s, 1228, -232, 996
JVVD, 396, -189, 207
EàG, 254, -130, 124
VERT'LIBÉRAUX, 115, -39, 76
PLR, 105, -40, 65
UDC, 58, -6, 52
Le Centre, 50, -16, 34
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 62, -42, 20
Les Libres, 44, -24, 20
PEV, 27, -8, 19
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 38, -20, 18
POP, 131, -117, 14
PPVD, 81, -75, 6
UDC Liberté et Mobilité, 4, -4, 0
Jeunes UDC, 2, -3, -1
UDF, 2, -3, -1
La Terre au Centre, 17, -22, -5
JLRV, 4, -10, -6
Les Jeunes du Centre, 15, -24, -9
PLR.Énergie libérale, 1, -16, -15
Total, 5197, -1524, 3673
