Liste-Bilan-Le_Centre, gagnés, perdus, bilan
UDC, 822, -452, 370
UDF, 45, -30, 15
PEV, 203, -196, 7
PPVD, 44, -46, -2
POP, 33, -54, -21
EàG, 12, -44, -32
JSV, 16, -50, -34
JVVD, 12, -59, -47
VERT'LIBÉRAUX, 612, -675, -63
Jeunes UDC, 13, -94, -81
UDC Liberté et Mobilité, 64, -170, -106
JLRV, 25, -131, -106
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 168, -293, -125
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 62, -218, -156
PLR, 1828, -2006, -178
PLR.Énergie libérale, 51, -248, -197
Les Vert·e·s, 338, -608, -270
Les Libres, 122, -398, -276
PSV, 960, -1314, -354
Les Jeunes du Centre, 107, -463, -356
La Terre au Centre, 311, -1075, -764
Total, 5848, -8624, -2776
