Liste-Bilan-PEV, gagnés, perdus, bilan
UDF, 392, -277, 115
PPVD, 31, -22, 9
Le Centre, 196, -203, -7
EàG, 19, -32, -13
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 21, -35, -14
Les Vert·e·s, 148, -164, -16
POP, 8, -27, -19
JSV, 8, -27, -19
JLRV, 1, -21, -20
Les Jeunes du Centre, 8, -29, -21
UDC Liberté et Mobilité, 13, -45, -32
JVVD, 7, -40, -33
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 16, -53, -37
PLR.Énergie libérale, 6, -45, -39
UDC, 206, -255, -49
Jeunes UDC, 16, -81, -65
Les Libres, 35, -126, -91
La Terre au Centre, 58, -173, -115
PSV, 309, -439, -130
VERT'LIBÉRAUX, 92, -225, -133
PLR, 217, -548, -331
Total, 1807, -2867, -1060
