Liste-Bilan-UDC_Liberte_et_Mobilite, gagnés, perdus, bilan
UDC, 5823, -1400, 4423
PLR, 2360, -920, 1440
Le Centre, 170, -64, 106
PSV, 353, -260, 93
UDF, 95, -13, 82
PPVD, 43, -8, 35
PEV, 45, -13, 32
VERT'LIBÉRAUX, 104, -77, 27
Jeunes UDC, 143, -137, 6
EàG, 11, -5, 6
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 15, -11, 4
POP, 18, -15, 3
JSV, 4, -4, 0
JVVD, 0, -4, -4
Les Vert·e·s, 67, -72, -5
Les Jeunes du Centre, 2, -10, -8
La Terre au Centre, 131, -142, -11
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 17, -28, -11
JLRV, 22, -35, -13
PLR.Énergie libérale, 65, -88, -23
Les Libres, 29, -55, -26
Total, 9517, -3361, 6156
