Liste-Bilan-VERT_LIBÉRAUX-JEUNES_VERT_LIBÉRAUX, gagnés, perdus, bilan
VERT'LIBÉRAUX, 1241, -315, 926
PLR, 697, -183, 514
Les Vert·e·s, 589, -191, 398
PSV, 578, -203, 375
UDC, 217, -30, 187
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 385, -201, 184
Le Centre, 218, -62, 156
PEV, 53, -16, 37
PPVD, 69, -33, 36
PLR.Énergie libérale, 53, -28, 25
Les Libres, 72, -60, 12
JVVD, 62, -53, 9
UDF, 9, 0, 9
POP, 16, -15, 1
Jeunes UDC, 7, -6, 1
UDC Liberté et Mobilité, 11, -15, -4
EàG, 16, -22, -6
La Terre au Centre, 72, -84, -12
JLRV, 21, -35, -14
JSV, 42, -62, -20
Les Jeunes du Centre, 45, -68, -23
Total, 4473, -1682, 2791
