Liste-Bilan-VERT_LIBÉRAUX, gagnés, perdus, bilan
UDC, 854, -343, 511
PLR, 3557, -3232, 325
PEV, 225, -92, 133
Le Centre, 675, -612, 63
UDF, 33, -22, 11
Jeunes UDC, 21, -39, -18
UDC Liberté et Mobilité, 77, -104, -27
POP, 29, -58, -29
PPVD, 61, -105, -44
EàG, 34, -94, -60
JSV, 39, -115, -76
Les Jeunes du Centre, 73, -159, -86
JLRV, 38, -153, -115
JVVD, 61, -210, -149
Les Vert·e·s, 1916, -2115, -199
Les Libres, 138, -346, -208
PLR.Énergie libérale, 84, -404, -320
La Terre au Centre, 157, -483, -326
PSV, 2140, -2526, -386
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 1008, -1833, -825
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 315, -1241, -926
Total, 11535, -14286, -2751
